char,x,y,width,height,char_idx_in_line,line_idx,page,word
o,-77.0,-69,13.0,21,6,0,page_1_practice,topics:
p,-64.0,-69,13.0,21,7,0,page_1_practice,topics:
i,-51.0,-69,13.0,21,8,0,page_1_practice,topics:
c,-38.0,-69,13.0,21,9,0,page_1_practice,topics:
s,-25.0,-69,13.0,21,10,0,page_1_practice,topics:
:,-12.0,-69,13.0,21,11,0,page_1_practice,topics:
 ,1.0,-69,13.0,21,12,0,page_1_practice,
t,14.0,-69,13.0,21,13,0,page_1_practice,"technology,"
e,27.0,-69,13.0,21,14,0,page_1_practice,"technology,"
c,40.0,-69,13.0,21,15,0,page_1_practice,"technology,"
h,53.0,-69,13.0,21,16,0,page_1_practice,"technology,"
n,66.0,-69,13.0,21,17,0,page_1_practice,"technology,"
o,79.0,-69,13.0,21,18,0,page_1_practice,"technology,"
l,92.0,-69,13.0,21,19,0,page_1_practice,"technology,"
o,105.0,-69,13.0,21,20,0,page_1_practice,"technology,"
g,118.0,-69,13.0,21,21,0,page_1_practice,"technology,"
y,131.0,-69,13.0,21,22,0,page_1_practice,"technology,"
",",144.0,-69,13.0,21,23,0,page_1_practice,"technology,"
 ,157.0,-69,13.0,21,24,0,page_1_practice,
g,170.0,-69,13.0,21,25,0,page_1_practice,"gadgets,"
a,183.0,-69,13.0,21,26,0,page_1_practice,"gadgets,"
d,196.0,-69,13.0,21,27,0,page_1_practice,"gadgets,"
g,209.0,-69,13.0,21,28,0,page_1_practice,"gadgets,"
e,222.0,-69,13.0,21,29,0,page_1_practice,"gadgets,"
t,235.0,-69,13.0,21,30,0,page_1_practice,"gadgets,"
s,248.0,-69,13.0,21,31,0,page_1_practice,"gadgets,"
",",261.0,-69,13.0,21,32,0,page_1_practice,"gadgets,"
 ,274.0,-69,13.0,21,33,0,page_1_practice,
c,287.0,-69,13.0,21,34,0,page_1_practice,consumer
o,300.0,-69,13.0,21,35,0,page_1_practice,consumer
n,313.0,-69,13.0,21,36,0,page_1_practice,consumer
s,326.0,-69,13.0,21,37,0,page_1_practice,consumer
u,339.0,-69,13.0,21,38,0,page_1_practice,consumer
m,352.0,-69,13.0,21,39,0,page_1_practice,consumer
e,365.0,-69,13.0,21,40,0,page_1_practice,consumer
r,378.0,-69,13.0,21,41,0,page_1_practice,consumer
 ,391.0,-69,13.0,21,42,0,page_1_practice,
e,404.0,-69,13.0,21,43,0,page_1_practice,electronics
l,417.0,-69,13.0,21,44,0,page_1_practice,electronics
e,430.0,-69,13.0,21,45,0,page_1_practice,electronics
c,443.0,-69,13.0,21,46,0,page_1_practice,electronics
t,456.0,-69,13.0,21,47,0,page_1_practice,electronics
r,469.0,-69,13.0,21,48,0,page_1_practice,electronics
o,482.0,-69,13.0,21,49,0,page_1_practice,electronics
n,495.0,-69,13.0,21,50,0,page_1_practice,electronics
i,508.0,-69,13.0,21,51,0,page_1_practice,electronics
c,521.0,-69,13.0,21,52,0,page_1_practice,electronics
s,534.0,-69,13.0,21,53,0,page_1_practice,electronics
C,-155.0,4,13.0,21,0,0,page_1_practice,Created
r,-142.0,4,13.0,21,1,0,page_1_practice,Created
e,-129.0,4,13.0,21,2,0,page_1_practice,Created
a,-116.0,4,13.0,21,3,0,page_1_practice,Created
t,-103.0,4,13.0,21,4,0,page_1_practice,Created
e,-90.0,4,13.0,21,5,0,page_1_practice,Created
d,-77.0,4,13.0,21,6,0,page_1_practice,Created
 ,-64.0,4,13.0,21,7,0,page_1_practice,
o,-51.0,4,13.0,21,8,0,page_1_practice,on:
n,-38.0,4,13.0,21,9,0,page_1_practice,on:
:,-25.0,4,13.0,21,10,0,page_1_practice,on:
 ,-12.0,4,13.0,21,11,0,page_1_practice,
p,1.0,4,13.0,21,12,0,page_1_practice,proprietary
r,14.0,4,13.0,21,13,0,page_1_practice,proprietary
o,27.0,4,13.0,21,14,0,page_1_practice,proprietary
p,40.0,4,13.0,21,15,0,page_1_practice,proprietary
r,53.0,4,13.0,21,16,0,page_1_practice,proprietary
i,66.0,4,13.0,21,17,0,page_1_practice,proprietary
e,79.0,4,13.0,21,18,0,page_1_practice,proprietary
t,92.0,4,13.0,21,19,0,page_1_practice,proprietary
a,105.0,4,13.0,21,20,0,page_1_practice,proprietary
r,118.0,4,13.0,21,21,0,page_1_practice,proprietary
y,131.0,4,13.0,21,22,0,page_1_practice,proprietary
 ,144.0,4,13.0,21,23,0,page_1_practice,
A,157.0,4,13.0,21,24,0,page_1_practice,AOL
O,170.0,4,13.0,21,25,0,page_1_practice,AOL
L,183.0,4,13.0,21,26,0,page_1_practice,AOL
 ,196.0,4,13.0,21,27,0,page_1_practice,
C,209.0,4,13.0,21,28,0,page_1_practice,CMS
M,222.0,4,13.0,21,29,0,page_1_practice,CMS
S,235.0,4,13.0,21,30,0,page_1_practice,CMS
L,-155.0,77,13.0,21,0,0,page_1_practice,Launched
a,-142.0,77,13.0,21,1,0,page_1_practice,Launched
u,-129.0,77,13.0,21,2,0,page_1_practice,Launched
n,-116.0,77,13.0,21,3,0,page_1_practice,Launched
c,-103.0,77,13.0,21,4,0,page_1_practice,Launched
h,-90.0,77,13.0,21,5,0,page_1_practice,Launched
e,-77.0,77,13.0,21,6,0,page_1_practice,Launched
d,-64.0,77,13.0,21,7,0,page_1_practice,Launched
 ,-51.0,77,13.0,21,8,0,page_1_practice,
b,-38.0,77,13.0,21,9,0,page_1_practice,by
y,-25.0,77,13.0,21,10,0,page_1_practice,by
 ,-12.0,77,13.0,21,11,0,page_1_practice,
P,1.0,77,13.0,21,12,0,page_1_practice,Peter
e,14.0,77,13.0,21,13,0,page_1_practice,Peter
t,27.0,77,13.0,21,14,0,page_1_practice,Peter
e,40.0,77,13.0,21,15,0,page_1_practice,Peter
r,53.0,77,13.0,21,16,0,page_1_practice,Peter
 ,66.0,77,13.0,21,17,0,page_1_practice,
R,79.0,77,13.0,21,18,0,page_1_practice,"Rojas,"
o,92.0,77,13.0,21,19,0,page_1_practice,"Rojas,"
j,105.0,77,13.0,21,20,0,page_1_practice,"Rojas,"
